fullname,head,ogrn,class
ДОМОДЕДОВСКОЕ ХУТОРСКОЕ КАЗАЧЬЕ ОБЩЕСТВО,ДОМОДЕДОВСКОЕ ХКО,1145000002179,1
"ОБЩЕСТВЕННАЯ ФИЗКУЛЬТУРНО-СПОРТИВНАЯ ОРГАНИЗАЦИЯ ""РЕГИОНАЛЬНАЯ ФЕДЕРАЦИЯ СПОРТИВНОЙ ГИМНАСТИКИ НИЖЕГОРОДСКОЙ ОБЛАСТИ""","ОФСО ""РФСГНО""",1165275070179,2
"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ СОЦИАЛЬНО-КУЛЬТУРНОГО ПРОСВЕЩЕНИЯ ПЕНСИОНЕРОВ ""ШКОЛА ТРЕТЬЕГО ВОЗРАСТА"" АМГИНСКОГО УЛУСА РЕСПУБЛИКИ САХА (ЯКУТИЯ)",ОО ШКОЛА ТРЕТЬЕГО ВОЗРАСТА АМГИНСКОГО УЛУСА,1171447015167,1
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПО АБИЛИТАЦИИ, СОЦИАЛИЗАЦИИ, ФИЗИЧЕСКОЙ РЕАБИЛИТАЦИИ ДЕТЕЙ И ВЗРОСЛЫХ ""ЦЕНТР ""ПОТЕНЦИАЛ""","АНО ""ЦЕНТР ""ПОТЕНЦИАЛ""",1195658003672,3
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ТЕАТР-СТУДИЯ СЛОВО""","АНО ""ТЕАТР-СТУДИЯ СЛОВО""",1182651000894,7
"ЗАБАЙКАЛЬСКАЯ КРАЕВАЯ ПРАВОЗАЩИТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ЗАКОН И ЧЕСТЬ""","ЗКПЗОО ""ЗАКОН И ЧЕСТЬ""",1157500010238,8
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОДДЕРЖКИ СОЦИАЛЬНЫХ ИНИЦИАТИВ ""ПРЕПОДОБНОГО ГЕННАДИЯ КОСТРОМСКОГО И ЛЮБИМОГРАДСКОГО""","БФ ""ГЕННАДИЯ КОСТРОМСКОГО И ЛЮБИМОГРАДСКОГО""",1154400010357,2
"УДМУРТСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""САМОСТОЯТЕЛЬНОЕ СКАУТСКОЕ ОБЪЕДИНЕНИЕ ""ЛЕСНЫЕ КОТЫ""","УРОО ""ССО ""ЛЕСНЫЕ КОТЫ""",1191832019719,3
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ПЕРВАЯ ИНТЕРНАЦИОНАЛЬНАЯ ОНЛАЙН-БИБЛИОТЕКА ДЛЯ ИНВАЛИДОВ ПО ЗРЕНИЮ ""ЛОГОС""","АНО ""БИБЛИОТЕКА ""ЛОГОС""",1167700058899,6
"МЕЖРЕГИОНАЛЬНЫЙ ПРОФСОЮЗ ""ЕДИНСТВО""","ПРОФСОЮЗ ""ЕДИНСТВО""",1149102042198,3
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ СОДЕЙСТВИЯ РАЗВИТИЮ ИНФРАСТРУКТУРНЫХ ПРОЕКТОВ И КУЛЬТУРНО-ТУРИСТИЧЕСКИХ ПРОГРАММ ""ИСТОРИЯ ЗЕМЛИ КАЛЕВАЛА""","АНО СОДЕЙСТВИЯ РАЗВИТИЮ ИНФРАСТРУКТУРНЫХ ПРОЕКТОВ И КУЛЬТУРНО-ТУРИСТИЧЕСКИХ ПРОГРАММ ""ИСТОРИЯ ЗЕМЛИ КАЛЕВАЛА""",1151001015153,5
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""СТУДИЯ ДЕТСКОГО ТВОРЧЕСТВА ""ОДИН ДОМА""","АНО ""ОДИН ДОМА""",1155200000240,5
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ГЕДЕОН""","БФ ""ГЕДЕОН""",1022402646353,3
"САНКТ-ПЕТЕРБУРГСКАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""СОДРУЖЕСТВО СТУДЕНТОВ СЕВЕРО-ЗАПАДНОЙ АКАДЕМИИ ГОСУДАРСТВЕННОЙ СЛУЖБЫ""","СПБОО ""СОДРУЖЕСТВО СТУДЕНТОВ СЗАГС""",1057806306470,5
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ИНФОРМАЦИОННЫХ ТЕХНОЛОГИЙ ""АНТИНАРКОТИЧЕСКАЯ ИНИЦИАТИВА""","АНО ИТ ""АНТИНАРКОТИЧЕСКАЯ ИНИЦИАТИВА""",1161513050984,2
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""АССОЦИАЦИЯ ЗАМЕЩАЮЩИХ СЕМЕЙ МОСКОВСКОЙ ОБЛАСТИ""","РОО ""АССОЦИАЦИЯ ЗАМЕЩАЮЩИХ СЕМЕЙ МОСКОВСКОЙ ОБЛАСТИ""",1175000003287,3
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""НАЦИОНАЛЬНЫЙ ЦЕНТР ПРОФЕССИОНАЛЬНО-ОБЩЕСТВЕННОЙ АККРЕДИТАЦИИ""","АНО ""НАЦАККРЕДЦЕНТР""",1101200000021,5
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""КУЛЬТУРНЫЙ ЦЕНТР ""ТЕАРТ""","АНО ""КУЛЬТУРНЫЙ ЦЕНТР ""ТЕАРТ""",1057746748146,13
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ В СФЕРЕ КУЛЬТУРЫ, ПРОСВЕЩЕНИЯ И СОЦИАЛЬНЫХ ТЕХНОЛОГИЙ ""АКАДЕМИЯ СЕМЕЙНОГО БЛАГОПОЛУЧИЯ""","АНО ""АКАДЕМИЯ СЕМЕЙНОГО БЛАГОПОЛУЧИЯ""",1157232003477,6
"ВОРОНЕЖСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ДЕТСКАЯ ОРГАНИЗАЦИЯ ""МОЛОДОЕ ПОКОЛЕНИЕ ЗА БЕЗОПАСНОСТЬ ДВИЖЕНИЯ""","ВРОДО ""МОЛОДОЕ ПОКОЛЕНИЕ ЗА БЕЗОПАСНОСТЬ ДВИЖЕНИЯ""",1143600001522,4
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД СОЦИАЛЬНОЙ ПОДДЕРЖКИ ""СИЛА СИБИРИ"" ГОРОДА БОГОТОЛА","БФСП ""СИЛА СИБИРИ"" ГОРОДА БОГОТОЛА",1152468030593,6
"ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ЯЗЫКОВОЙ ЦЕНТР ""ПЛАНЕТА ЗНАНИЙ""","ЧОУ ДО ЯЗЫКОВОЙ ЦЕНТР ""ПЛАНЕТА ЗНАНИЙ""",1103600001064,5
МЕСТНАЯ ПРАВОСЛАВНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ЦЕРКВИ КАЗАНСКОЙ ИКОНЫ БОЖИЕЙ МАТЕРИ С. УЛАГАН РЕСПУБЛИКИ АЛТАЙ ГОРНОАЛТАЙСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ,,1030400001389,5
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ИНДИЙСКИЙ КУЛЬТУРНО-НАЦИОНАЛЬНЫЙ ЦЕНТР ""СИТА""","АНО ИНДИЙСКИЙ КУЛЬТУРНО-НАЦИОНАЛЬНЫЙ ЦЕНТР ""СИТА""",1167700062309,7
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ИНКЛЮЗИВНЫЙ ЦЕНТР РАЗВИТИЯ И ТВОРЧЕСТВА ""ГОРОД СОЛНЦА""","АНО ""ГОРОД СОЛНЦА""",1200200000164,3
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""КУЛЬТУРНО-ОЗДОРОВИТЕЛЬНЫЙ ЦЕНТР ПО ПРЕДОСТАВЛЕНИЮ УСЛУГ В СФЕРЕ ПРОФИЛАКТИКИ СОЦИАЛЬНО ЗНАЧИМЫХ ЗАБОЛЕВАНИЙ И СОДЕЙСТВИЯ ВЕДЕНИЮ ТРЕЗВОГО И ЗДОРОВОГО ОБРАЗА ЖИЗНИ ""ТРЕЗВЫЙ ВОРОНЕЖ""","АНО ""ТРЕЗВЫЙ ВОРОНЕЖ""",1173600000958,2
МЕСТНАЯ ПРАВОСЛАВНАЯ РЕЛИГИОЗНАЯ ОРГАНИЗАЦИЯ ПРИХОД ЦЕРКВИ ЖИВОТВОРЯЩЕГО КРЕСТА ГОСПОДНЯ С. КУЛАЕВО ПЕСТРЕЧИНСКОГО РАЙОНА РЕСПУБЛИКИ ТАТАРСТАН КАЗАНСКОЙ ЕПАРХИИ РУССКОЙ ПРАВОСЛАВНОЙ ЦЕРКВИ (МОСКОВСКИЙ ПАТРИАРХАТ),,1041651609878,3
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПО ПРОВЕДЕНИЮ СЕМЕЙНЫХ МАССОВЫХ МЕРОПРИЯТИЙ ""СЧАСТЛИВОЕ ДЕТСТВО""","АНО ПО ПРОВЕДЕНИЮ СЕМЕЙНЫХ МАССОВЫХ МЕРОПРИЯТИЙ ""СЧАСТЛИВОЕ ДЕТСТВО""",1182651005767,3
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР АКТИВНОГО ДОСУГА И ЗДОРОВОГО ОБРАЗА ЖИЗНИ ""РОДНИК""","АНО ""ЦЕНТР ""РОДНИК""",1196733000232,3
МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ВЕТЕРАНОВ (ПЕНСИОНЕРОВ) СПАССКОГО МУНИЦИПАЛЬНОГО РАЙОНА,,1031659015398,6
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ПОМОЩИ И РАЗВИТИЯ ТВОРЧЕСКИХ СПОСОБНОСТЕЙ ДЕТЕЙ-СИРОТ, ДЕТЕЙ-ИНВАЛИДОВ, ДЕТЕЙ С ТЯЖЕЛЫМИ ЗАБОЛЕВАНИЯМИ ""МАЛЕНЬКИЕ ТАЛАНТЫ""","БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""МАЛЕНЬКИЕ ТАЛАНТЫ""",1167700054367,6
РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ СПОРТИВНЫЙ КЛУБ КОННОГО БИАТЛОНА РЕСПУБЛИКИ БАШКОРТОСТАН,РОО СККБ РБ,1170280036794,2
"ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""КАСКАД""","ЧОУ ДПО ""КАСКАД""",1077400000644,2
"МАГНИТОГОРСКИЙ БЛАГОТВОРИТЕЛЬНЫЙ ФОНД ""ПАТРИОТ""",,1167400052390,7
"МЕСТНОЕ ОТДЕЛЕНИЕ РЕГИОНАЛЬНОЙ МОЛОДЕЖНОЙ ОБЩЕСТВЕННОЙ ОРГАНИЗАЦИИ ""ФЕДЕРАЦИЯ МОЛОДЕЖИ БУРЯТИИ"" КУРУМКАНСКОГО РАЙОНА","МЕСТНОЕ ОТДЕЛЕНИЕ РМОО ""ФЕДЕРАЦИЯ МОЛОДЕЖИ БУРЯТИИ"" КУРУМКАНСКОГО РАЙОНА",1160327050168,5
"РЯЗАНСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""РЕГИОНАЛЬНЫЙ ЦЕНТР ОБЩЕСТВЕННОГО КОТРОЛЯ В СФЕРЕ ЖКХ РЯЗАНСКОЙ ОБЛАСТИ""","РРОО ""РЕГИОНАЛЬНЫЙ ЦЕНТР ОБЩЕСТВЕННОГО КОНТРОЛЯ В СФЕРЕ ЖКХ РЯЗАНСКОЙ ОБЛАСТИ""",1156200000164,8
САМАРСКОЕ ОКРУЖНОЕ КАЗАЧЬЕ ОБЩЕСТВО,СОКО,1116300005667,12
"ЧАСТНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ОБРАЗОВАНИЯ ""ГОРОДСКАЯ СПОРТИВНАЯ ШКОЛА ДРЕССИРОВКИ""","ЧОУ ДО ""ГСШД""",1036301056054,9
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР КУЛЬТУРНО-ПАТРИОТИЧЕСКОГО ВОСПИТАНИЯ""","АНО ""ЦЕНТР КУЛЬТУРНО-ПАТРИОТИЧЕСКОГО ВОСПИТАНИЯ""",1155200000163,12
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""СПОРТИВНЫЙ КЛУБ ""КПРФ""","СК ""КПРФ""",1097799014730,2
"МЕЖРЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ДАЛЬНЕВОСТОЧНАЯ АССОЦИАЦИЯ НАРОДОВ КАВКАЗА И СРЕДНЕЙ АЗИИ""","МОО ""ДВАНКСА""",1162700050699,7
"РОДОВАЯ ОБЩИНА КОРЕННЫХ МАЛОЧИСЛЕННЫХ НАРОДОВ СЕВЕРА ""ТАТАММЕ""","РО ""ТАТАММЕ""",1154100000812,6
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ЦЕНТР РАЗВИТИЯ СОЦАЛЬНОЙ РЕКЛАМЫ И СОЦИАЛЬНЫХ КОММУНИКАЦИЙ ""СОЦИАЛЬНЫЙ МЕДИАТОР""",,1177700018540,5
ФОНД СОХРАНЕНИЯ КУЛЬТУРНЫХ ЦЕННОСТЕЙ И РАЗВИТИЯ ДЕЯТЕЛЬНОСТИ В СФЕРЕ КУЛЬТУРЫ,,1167700073804,6
"КРАЕВАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ ШАХМАТ КРАСНОДАРСКОГО КРАЯ""",КОО ФЕДЕРАЦИЯ ШАХМАТ КРАСНОДАРСКОГО КРАЯ,1152300003338,2
АССОЦИАЦИЯ МОЛОДЫХ СТОМАТОЛОГОВ,АМС,1137799020831,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ТЕЛЕКОМПАНИЯ ""ПРНК""","АНО ""ТВ ""ПРНК""",1197700010034,6
"ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ТЕРРИТОРИАЛЬНОГО ОБЩЕСТВЕННОГО САМОУПРАВЛЕНИЯ ""АНДРЕЕВСКОЕ"" СЕЛА АНДРЕЕВКА МУНИЦИПАЛЬНОГО ОБРАЗОВАНИЯ ""КАЛМАЮРСКОЕ СЕЛЬСКОЕ ПОСЕЛЕНИЕ"" ЧЕРДАКЛИНСКОГО РАЙОНА УЛЬЯНОВСКОЙ ОБЛАСТИ","ТОС ""АНДРЕЕВСКОЕ""",1187325018781,7
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""АССОЦИАЦИЯ УЧИТЕЛЕЙ ТУВИНСКОГО ЯЗЫКА И ЛИТЕРАТУРЫ РЕСПУБЛИКИ ТЫВА""",АССОЦИАЦИЯ УЧИТЕЛЕЙ ТУВИНСКОГО ЯЗЫКА И ЛИТЕРАТУРЫ РТ,1161700050203,5
"ЧАСТНОЕ УЧРЕЖДЕНИЕ ДОПОЛНИТЕЛЬНОГО ПРОФЕССИОНАЛЬНОГО ОБРАЗОВАНИЯ ""ТРАЕКТОРИЯ РАЗВИТИЯ""","ЧУ ДПО ""ТРАЕКТОРИЯ РАЗВИТИЯ""",1153850035976,5
"СОЮЗ ""БЕЛГОРОДСКОЕ ОБЛАСТНОЕ ОБЪЕДИНЕНИЕ ОРГАНИЗАЦИЙ ПРОФСОЮЗОВ""",БОООП,1023100000835,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ПОМОЩИ ЖИВОТНЫМ ""МАЛЕНЬКАЯ ЖИЗНЬ""","АНО ПОМОЩИ ЖИВОТНЫМ ""МАЛЕНЬКАЯ ЖИЗНЬ""",1137400001144,9
"СВЕРДЛОВСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ БОКСЕРСКИЙ КЛУБ ""КВАЗАР""","СР ОО БК ""КВАЗАР""",1156600001227,2
"АСТРАХАНСКАЯ РЕГИОНАЛЬНАЯ ФИЗКУЛЬТУРНО-СПОРТИВНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ ПАРА ЧИРА""","АРОО ""ФЕДЕРАЦИЯ ПАРА ЧИРА""",1173025006186,2
"ЯРОСЛАВСКАЯ ГОРОДСКАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ СОДЕЙСТВИЯ РАЗВИТИЮ МАТЕМАТИЧЕСКОГО ОБРАЗОВАНИЯ ""ЯРОСЛАВСКАЯ ШКОЛА-33""","ЯГОО СОДЕЙСТВИЯ РАЗВИТИЮ МАТЕМАТИЧЕСКОГО ОБРАЗОВАНИЯ ""ЯРОСЛАВСКАЯ ШКОЛА-33""",1187627011538,5
"МИЛЮТИНСКОЕ ЮРТОВОЕ КАЗАЧЬЕ ОБЩЕСТВО ОКРУЖНОГО КАЗАЧЬЕГО ОБЩЕСТВА ПЕРВОГО ДОНСКОГО ОКРУГА ВОЙСКОВОГО КАЗАЧЬЕГО ОБЩЕСТВА ""ВСЕВЕЛИКОЕ ВОЙСКО ДОНСКОЕ""",МИЛЮТИНСКОЕ ЮКО,1146100000056,7
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ СОДЕЙСТВИЯ РАЗВИТИЮ ТУРИЗМА И СПОРТА ""КРЫМТУРИНТЕРСПОРТ""","АНО ""КРЫМТУРИНТЕРСПОРТ""",1159102099276,4
"ХАБАРОВСКАЯ РЕГИОНАЛЬНАЯ БЛАГОТВОРИТЕЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР СОЦИАЛЬНЫХ ТЕХНОЛОГИЙ ""ДОБРЫЙ ХАБАРОВСК""","ХРБОО ""ЦЕНТР СОЦИАЛЬНЫХ ТЕХНОЛОГИЙ ""ДОБРЫЙ ХАБАРОВСК""",1172700000560,12
"ОМСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР ПОДДЕРЖКИ И РАЗВИТИЯ ЛЮБИТЕЛЬСКОГО СПОРТА""","ОРОО ""ЦЕНТР ПОДДЕРЖКИ И РАЗВИТИЯ ЛЮБИТЕЛЬСКОГО СПОРТА""",1185543021201,2
АССОЦИАЦИЯ ЛИЦ ИСПОЛЬЗУЮЩИХ АЛЬТЕРНАТИВНУЮ И ДОПОЛНИТЕЛЬНУЮ КОММУНИКАЦИЮ,,1187800002466,5
"КИРОВСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ЖИЛИЩНО-КОММУНАЛЬНЫЙ КОНТРОЛЬ""","КРОО ""ЖИЛИЩНО-КОММУНАЛЬНЫЙ КОНТРОЛЬ""",1164300050760,1
"РЕГИОНАЛЬНАЯ ФИЗКУЛЬТУРНО-СПОРТИВНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ КОБУДО РЕСПУБЛИКИ ТАТАРСТАН""","ФСОО ""ФЕДЕРАЦИЯ КОБУДО РЕСПУБЛИКИ ТАТАРСТАН""",1101600003625,2
"НИЖЕГОРОДСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ БЛАГОТВОРИТЕЛЬНАЯ ОРГАНИЗАЦИЯ ""КУЛЬТУРНО-ПРОСВЕТИТЕЛЬСКОЕ ОБЩЕСТВО ""ПАТРИОТ""","НРОБО ""КУЛЬТУРНО-ПРОСВЕТИТЕЛЬСКОЕ ОБЩЕСТВО ""ПАТРИОТ""",1195275027386,7
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ПО ЗАЩИТЕ ОКРУЖАЮЩЕЙ ПРИРОДНОЙ СРЕДЫ; ВОССТАНОВЛЕНИЮ И СОХРАНЕНИЮ ПРИРОДНЫХ ЦЕННОСТЕЙ; ФОРМИРОВАНИЮ ЭКОЛОГИЧЕСКОЙ КУЛЬТУРЫ НАСЕЛЕНИЯ ""НОВЫЙ ЭКОЛОГИЧЕСКИЙ ПРОЕКТ""","РОО ""НОВЫЙ ЭКОЛОГИЧЕСКИЙ ПРОЕКТ""",1087800002135,9
"ПЕРВИЧНАЯ ОРГАНИЗАЦИЯ БЕЛГОРОДСКОЙ РЕГИОНАЛЬНОЙ ОРГАНИЗАЦИИ РОССИЙСКОГО ПРОФЕССИОНАЛЬНОГО СОЮЗА РАБОТНИКОВ КУЛЬТУРЫ ""ПРОФСОЮЗНАЯ ОРГАНИЗАЦИЯ РАБОТНИКОВ ДЕТСКИХ МУЗЫКАЛЬНЫХ ШКОЛ И ДЕТСКИХ ШКОЛ ИСКУССТВ КРАСНОГВАРДЕЙСКОГО РАЙОНА""","""ПРОФКОМ ДМШ И ДШИ КРАСНОГВАРДЕЙСКОГО РАЙОНА""",1023100012430,6
"БЛАГОТВОРИТЕЛЬНЫЙ ФОНД СОЦИАЛЬНОЙ ПОДДЕРЖКИ ""КАТЮША""","БФСП ""КАТЮША""",1193600000230,1
"ЧЕЛЯБИНСКАЯ РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ВОЕННО-ПАТРИОТИЧЕСКОЕ ОБЪЕДИНЕНИЕ ""ЗЛАТОУСТ""","ЧРОО ""ВОЕННО-ПАТРИОТИЧЕСКОЕ ОБЪЕДИНЕНИЕ ""ЗЛАТОУСТ""",1197400001270,5
"МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ЦЕНТР МОЛОДЕЖНЫХ ИНИЦИАТИВ САЙЗЫРАЛ"" ДЗУН-ХЕМЧИКСКОГО РАЙОНА","МОО ""ЦМИ САЙЗЫРАЛ""",1191700000470,1
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ МЕЖРАЙОННЫЙ ЦЕНТР СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ ""ЮЖНЫЙ""","АНО ЦСОН ""ЮЖНЫЙ""",1171101005294,1
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ СПОРТА ЛИЦ С ПОРАЖЕНИЕМ ОПОРНО-ДВИГАТЕЛЬНОГО АППАРАТА В ПРИМОРСКОМ КРАЕ""","РОО ""ФСЛПОДАПК""",1142500001973,5
"КЕЖЕМСКАЯ РАЙОННАЯ ОБЩЕСТВЕННАЯ МЕСТНАЯ ОРГАНИЗАЦИЯ ""КЛУБ ПАРАПЛАНЕРНОГО СПОРТА ""АНГАРСКИЕ СТРИЖИ""","КЕЖЕМСКАЯ РАЙОННАЯ ОБЩЕСТВЕННАЯ МЕСТНАЯ ОРГАНИЗАЦИЯ ""КПС ""АНГАРСКИЕ СТРИЖИ""",1142468046467,2
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""ОБЩЕСТВЕННО-ПАТРИОТИЧЕСКИЙ ЦЕНТР ГРАЖДАНИНА МИНИНА И КНЯЗЯ ПОЖАРСКОГО""","АНО ""МИНИН-ЦЕНТР""",1175275059630,6
"НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""АССОЦИАЦИЯ АНДРАГОГОВ РЕСПУБЛИКИ САХА (ЯКУТИЯ)""",АССОЦИАЦИЯ АНДРАГОГОВ РС(Я),1161400050096,5
"РЕГИОНАЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ МОТОЦИКЛЕТНОГО СПОРТА КЕМЕРОВСКОЙ ОБЛАСТИ""","РОО ""ФЕДЕРАЦИЯ МОТОЦИКЛЕТНОГО СПОРТА КЕМЕРОВСКОЙ ОБЛАСТИ""",1084200003689,2
"МЕСТНАЯ МОЛОДЕЖНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ СОДЕЙСТВИЯ РАЗВИТИЮ МАССОВОГО СПОРТА ""ДВИЖЕНИЕ"" Г.ТЮКАЛИНСКА","ММОО ""ДВИЖЕНИЕ"" Г.ТЮКАЛИНСКА",1175543027065,4
"ИВАНОВСКАЯ ОБЛАСТНАЯ СПОРТИВНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ФЕДЕРАЦИЯ ПЭЙНТБОЛА""","ИОСОО ""ФП""",1143700000212,2
"САНКТ-ПЕТЕРБУРГСКАЯ БЛАГОТВОРИТЕЛЬНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ""ПЕРСПЕКТИВЫ""","СПБ БОО ""ПЕРСПЕКТИВЫ""",1037858014391,1
"АВТОНОМНАЯ НЕКОММЕРЧЕСКАЯ ОРГАНИЗАЦИЯ ""НАЦИОНАЛЬНЫЙ ТРЕНИНГОВЫЙ ЦЕНТР""","АНО ""НАЦИОНАЛЬНЫЙ ТРЕНИНГОВЫЙ ЦЕНТР""",1132651032260,5
"ХУТОРСКОЕ КАЗАЧЬЕ ОБЩЕСТВО ""КОЛОДЕЗЯНСКОЕ"" ЮРТОВОГО КАЗАЧЬЕГО ОБЩЕСТВА ""МИЛЛЕРОВСКИЙ ЮРТ"" ОКРУЖНОГО КАЗАЧЬЕГО ОБЩЕСТВА ДОНЕЦКОГО ОКРУГА ВОЙСКОВОГО КАЗАЧЬЕГО ОБЩЕСТВА ""ВСЕВЕЛИКОЕ ВОЙСКО ДОНСКОЕ""","ХКО ""КОЛОДЕЗЯНСКОЕ""",1146100000078,2
"МЕСТНАЯ ОБЩЕСТВЕННАЯ ОРГАНИЗАЦИЯ ПОМОЩИ МНОГОДЕТНЫМ СЕМЬЯМ ""ЛАДОШКА В РУКЕ"" В Г. СОВЕТСКЕ КАЛИНИНГРАДСКОЙ ОБЛАСТИ","МОО ""ЛАДОШКА В РУКЕ"" В Г. СОВЕТСКЕ КАЛИНИНГРАДСКОЙ ОБЛАСТИ",1173926005285,3
